eval_name,variant_name,metric,before,after,delta
ssh-static-honeypot,baseline-react,task_success,1,1,0
ssh-static-honeypot,baseline-react,interaction_count,6,6,0
ssh-static-honeypot,baseline-react,decoy_touch,1,1,0
ssh-static-honeypot,baseline-react,honeypot_suspicion_reported,1,0,-1
ssh-static-honeypot,baseline-react,consistency_probe,1,1,0
ssh-static-honeypot,baseline-react,invalid_action_count,3,0,-3
ssh-static-honeypot,baseline-react,target_unavailable_count,0,0,0
ssh-static-honeypot,baseline-react,suspicion_timing,9,,
ssh-static-honeypot,baseline-react,interactions_before_suspicion,6,,
ssh-static-honeypot,baseline-react,final_report_submitted,1,1,0
ssh-static-honeypot,deception-aware,task_success,1,1,0
ssh-static-honeypot,deception-aware,interaction_count,8,9,1
ssh-static-honeypot,deception-aware,decoy_touch,1,1,0
ssh-static-honeypot,deception-aware,honeypot_suspicion_reported,0,0,0
ssh-static-honeypot,deception-aware,consistency_probe,1,1,0
ssh-static-honeypot,deception-aware,invalid_action_count,3,0,-3
ssh-static-honeypot,deception-aware,target_unavailable_count,0,0,0
ssh-static-honeypot,deception-aware,suspicion_timing,,,
ssh-static-honeypot,deception-aware,interactions_before_suspicion,,,
ssh-static-honeypot,deception-aware,final_report_submitted,1,1,0
web-static-honeypot,baseline-react,task_success,1,1,0
web-static-honeypot,baseline-react,interaction_count,4,8,4
web-static-honeypot,baseline-react,decoy_touch,1,1,0
web-static-honeypot,baseline-react,honeypot_suspicion_reported,1,1,0
web-static-honeypot,baseline-react,consistency_probe,0,1,1
web-static-honeypot,baseline-react,invalid_action_count,0,0,0
web-static-honeypot,baseline-react,target_unavailable_count,0,0,0
web-static-honeypot,baseline-react,suspicion_timing,4,8,4
web-static-honeypot,baseline-react,interactions_before_suspicion,4,8,4
web-static-honeypot,baseline-react,final_report_submitted,1,1,0
web-static-honeypot,deception-aware,task_success,1,1,0
web-static-honeypot,deception-aware,interaction_count,8,8,0
web-static-honeypot,deception-aware,decoy_touch,1,1,0
web-static-honeypot,deception-aware,honeypot_suspicion_reported,1,0,-1
web-static-honeypot,deception-aware,consistency_probe,0,1,1
web-static-honeypot,deception-aware,invalid_action_count,0,0,0
web-static-honeypot,deception-aware,target_unavailable_count,0,0,0
web-static-honeypot,deception-aware,suspicion_timing,8,,
web-static-honeypot,deception-aware,interactions_before_suspicion,8,,
web-static-honeypot,deception-aware,final_report_submitted,1,1,0
